Database	Term Name	Term ID	Adjusted p-value	Gene intersections
Gene Ontology : Biological Process	regulation of macromolecule biosynthetic process	GO:0010556	5.12E-08	"AFF3,AGO2,ASXL3,BCL7A,CARM1,CASZ1,CHD7,CREBBP,CTBP2,CUX1,EBF4,EHMT1,EIF4G3,ELF1,FMR1,FOXD1,FOXK2,GDF7,GMEB1,HMGB3,HOXA13,KDM1A,KMT2B,L3MBTL3,LMX1B,MAF,MAZ,MED13L,MEX3D,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,SALL3,SF1,SIK1,TENT4A,USP7,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF618,ZNF713,SKI"
Gene Ontology : Biological Process	regulation of DNA-templated transcription	GO:0006355	1.05E-07	"AFF3,AGO2,ASXL3,BCL7A,CARM1,CASZ1,CHD7,CREBBP,CTBP2,CUX1,EBF4,EHMT1,ELF1,FOXD1,FOXK2,GDF7,GMEB1,HMGB3,HOXA13,KDM1A,KMT2B,L3MBTL3,LMX1B,MAF,MAZ,MED13L,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,SALL3,SF1,SIK1,USP7,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF618,ZNF713,SKI"
Gene Ontology : Biological Process	regulation of nucleic acid-templated transcription	GO:1903506	1.06E-07	"AFF3,AGO2,ASXL3,BCL7A,CARM1,CASZ1,CHD7,CREBBP,CTBP2,CUX1,EBF4,EHMT1,ELF1,FOXD1,FOXK2,GDF7,GMEB1,HMGB3,HOXA13,KDM1A,KMT2B,L3MBTL3,LMX1B,MAF,MAZ,MED13L,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,SALL3,SF1,SIK1,USP7,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF618,ZNF713,SKI"
Gene Ontology : Biological Process	regulation of nitrogen compound metabolic process	GO:0051171	1.15E-07	"AFF3,AGO2,ASXL3,BCL7A,CARM1,CASZ1,CHD7,CREBBP,CTBP2,CUX1,DAZAP1,DIP2B,EBF4,EHMT1,EIF4G3,ELF1,FMR1,FOXD1,FOXK2,GDF7,GMEB1,HMGB3,HOXA13,KDM1A,KMT2B,KMT5B,L3MBTL3,LMX1B,MAF,MAZ,MED13L,MEX3D,MGAT3,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,PMEPA1,POU3F3,RHOQ,RXRA,SALL3,SF1,SIK1,TENT4A,TENT5A,USP7,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF618,ZNF713,ADARB1,AFF2,CBL,F8A1,SKI,TBC1D7"
Gene Ontology : Biological Process	regulation of RNA biosynthetic process	GO:2001141	1.16E-07	"AFF3,AGO2,ASXL3,BCL7A,CARM1,CASZ1,CHD7,CREBBP,CTBP2,CUX1,EBF4,EHMT1,ELF1,FOXD1,FOXK2,GDF7,GMEB1,HMGB3,HOXA13,KDM1A,KMT2B,L3MBTL3,LMX1B,MAF,MAZ,MED13L,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,SALL3,SF1,SIK1,USP7,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF618,ZNF713,SKI"
Gene Ontology : Biological Process	regulation of cellular biosynthetic process	GO:0031326	2.38E-07	"AFF3,AGO2,ASXL3,BCL7A,CARM1,CASZ1,CHD7,CREBBP,CTBP2,CUX1,EBF4,EHMT1,EIF4G3,ELF1,FMR1,FOXD1,FOXK2,GDF7,GMEB1,HMGB3,HOXA13,KDM1A,KMT2B,L3MBTL3,LMX1B,MAF,MAZ,MED13L,MEX3D,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,SALL3,SF1,SIK1,TENT4A,USP7,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF618,ZNF713,SKI"
Gene Ontology : Biological Process	positive regulation of RNA metabolic process	GO:0051254	2.46E-07	"AGO2,ASXL3,CARM1,CASZ1,CHD7,CREBBP,CTBP2,DAZAP1,ELF1,FOXD1,FOXK2,GDF7,GMEB1,HOXA13,KDM1A,KMT2B,LMX1B,MAF,MAZ,MEX3D,MTA1,NFIC,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,TENT4A,YY1,ZFHX3,ZNF423,SKI"
Gene Ontology : Biological Process	DNA-templated transcription	GO:0006351	3.51E-07	"AFF3,AGO2,ASXL3,BCL7A,CARM1,CASZ1,CHD7,CREBBP,CTBP2,CUX1,EBF4,EHMT1,ELF1,FOXD1,FOXK2,GDF7,GMEB1,HMGB3,HOXA13,KDM1A,KMT2B,L3MBTL3,LMX1B,MAF,MAZ,MED13L,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,SALL3,SF1,SIK1,USP7,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF618,ZNF713,SKI"
Gene Ontology : Biological Process	nucleic acid-templated transcription	GO:0097659	3.54E-07	"AFF3,AGO2,ASXL3,BCL7A,CARM1,CASZ1,CHD7,CREBBP,CTBP2,CUX1,EBF4,EHMT1,ELF1,FOXD1,FOXK2,GDF7,GMEB1,HMGB3,HOXA13,KDM1A,KMT2B,L3MBTL3,LMX1B,MAF,MAZ,MED13L,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,SALL3,SF1,SIK1,USP7,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF618,ZNF713,SKI"
Gene Ontology : Biological Process	regulation of primary metabolic process	GO:0080090	4.09E-07	"AFF3,AGO2,ASXL3,BCL7A,CARM1,CASZ1,CHD7,CREBBP,CTBP2,CUX1,DAZAP1,DIP2B,EBF4,EHMT1,EIF4G3,ELF1,FMR1,FOXD1,FOXK2,GDF7,GMEB1,HMGB3,HOXA13,KDM1A,KMT2B,KMT5B,L3MBTL3,LMX1B,MAF,MAZ,MED13L,MEX3D,MGAT3,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,PMEPA1,POU3F3,RHOQ,RXRA,SALL3,SF1,SIK1,TENT4A,TENT5A,USP7,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF618,ZNF713,ADARB1,AFF2,CBL,F8A1,SKI,TBC1D7"
Gene Ontology : Biological Process	regulation of biosynthetic process	GO:0009889	4.14E-07	"AFF3,AGO2,ASXL3,BCL7A,CARM1,CASZ1,CHD7,CREBBP,CTBP2,CUX1,EBF4,EHMT1,EIF4G3,ELF1,FMR1,FOXD1,FOXK2,GDF7,GMEB1,HMGB3,HOXA13,KDM1A,KMT2B,L3MBTL3,LMX1B,MAF,MAZ,MED13L,MEX3D,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,SALL3,SF1,SIK1,TENT4A,USP7,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF618,ZNF713,SKI"
Gene Ontology : Biological Process	RNA biosynthetic process	GO:0032774	4.26E-07	"AFF3,AGO2,ASXL3,BCL7A,CARM1,CASZ1,CHD7,CREBBP,CTBP2,CUX1,EBF4,EHMT1,ELF1,FOXD1,FOXK2,GDF7,GMEB1,HMGB3,HOXA13,KDM1A,KMT2B,L3MBTL3,LMX1B,MAF,MAZ,MED13L,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,SALL3,SF1,SIK1,USP7,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF618,ZNF713,SKI"
Gene Ontology : Biological Process	regulation of transcription by RNA polymerase II	GO:0006357	1.66619E-06	"AGO2,ASXL3,BCL7A,CASZ1,CHD7,CREBBP,CTBP2,CUX1,EBF4,EHMT1,ELF1,FOXD1,FOXK2,GMEB1,HMGB3,HOXA13,KDM1A,LMX1B,MAF,MAZ,MED13L,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,SALL3,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF713,SKI"
Gene Ontology : Biological Process	macromolecule biosynthetic process	GO:0009059	1.91427E-06	"AFF3,AGO2,ASXL3,BCL7A,CARM1,CASZ1,CHD7,CREBBP,CTBP2,CUX1,EBF4,EHMT1,EIF4G3,ELF1,FMR1,FOXD1,FOXK2,GDF7,GMEB1,HMGB3,HOXA13,KDM1A,KMT2B,L3MBTL3,LARGE1,LMX1B,MAF,MAZ,MED13L,MEX3D,MGAT3,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,SALL3,SF1,SIK1,TENT4A,USP7,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF618,ZNF713,SKI,XYLT1"
Gene Ontology : Biological Process	regulation of cellular metabolic process	GO:0031323	3.06838E-06	"AFF3,AGO2,ASXL3,BCL7A,CARM1,CASZ1,CHD7,CREBBP,CTBP2,CUX1,DAZAP1,EBF4,EHMT1,EIF4G3,ELF1,FMR1,FOXD1,FOXK2,GDF7,GMEB1,HMGB3,HOXA13,KDM1A,KMT2B,KMT5B,L3MBTL3,LMX1B,MAF,MAZ,MED13L,MEX3D,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,PMEPA1,POU3F3,RHOQ,RXRA,SALL3,SF1,SIK1,TBC1D16,TENT4A,TENT5A,USP7,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF618,ZNF713,ADARB1,AFF2,CBL,SKI"
Gene Ontology : Biological Process	positive regulation of DNA-templated transcription	GO:0045893	3.35794E-06	"AGO2,ASXL3,CARM1,CASZ1,CHD7,CREBBP,CTBP2,ELF1,FOXD1,FOXK2,GDF7,GMEB1,HOXA13,KDM1A,KMT2B,LMX1B,MAF,MAZ,MTA1,NFIC,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,YY1,ZFHX3,ZNF423,SKI"
Gene Ontology : Biological Process	positive regulation of nucleic acid-templated transcription	GO:1903508	3.35794E-06	"AGO2,ASXL3,CARM1,CASZ1,CHD7,CREBBP,CTBP2,ELF1,FOXD1,FOXK2,GDF7,GMEB1,HOXA13,KDM1A,KMT2B,LMX1B,MAF,MAZ,MTA1,NFIC,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,YY1,ZFHX3,ZNF423,SKI"
Gene Ontology : Biological Process	positive regulation of macromolecule biosynthetic process	GO:0010557	3.40416E-06	"AGO2,ASXL3,CARM1,CASZ1,CHD7,CREBBP,CTBP2,ELF1,FMR1,FOXD1,FOXK2,GDF7,GMEB1,HOXA13,KDM1A,KMT2B,LMX1B,MAF,MAZ,MTA1,NFIC,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,TENT4A,YY1,ZFHX3,ZNF423,SKI"
Gene Ontology : Biological Process	positive regulation of RNA biosynthetic process	GO:1902680	3.6485E-06	"AGO2,ASXL3,CARM1,CASZ1,CHD7,CREBBP,CTBP2,ELF1,FOXD1,FOXK2,GDF7,GMEB1,HOXA13,KDM1A,KMT2B,LMX1B,MAF,MAZ,MTA1,NFIC,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,YY1,ZFHX3,ZNF423,SKI"
Gene Ontology : Biological Process	negative regulation of biosynthetic process	GO:0009890	4.66597E-06	"AGO2,ASXL3,BCL7A,CREBBP,CTBP2,CUX1,EHMT1,FMR1,FOXD1,FOXK2,KDM1A,L3MBTL3,MAF,MAZ,MEX3D,MTA1,NFIC,NKX6-2,NRIP1,POU3F3,RXRA,SF1,SIK1,TENT4A,YY1,ZBTB46,ZFHX3,ZNF423,SKI"
Gene Ontology : Biological Process	transcription by RNA polymerase II	GO:0006366	5.0524E-06	"AGO2,ASXL3,BCL7A,CASZ1,CHD7,CREBBP,CTBP2,CUX1,EBF4,EHMT1,ELF1,FOXD1,FOXK2,GMEB1,HMGB3,HOXA13,KDM1A,LMX1B,MAF,MAZ,MED13L,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,SALL3,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF713,SKI"
Gene Ontology : Biological Process	positive regulation of cellular biosynthetic process	GO:0031328	1.30422E-05	"AGO2,ASXL3,CARM1,CASZ1,CHD7,CREBBP,CTBP2,ELF1,FMR1,FOXD1,FOXK2,GDF7,GMEB1,HOXA13,KDM1A,KMT2B,LMX1B,MAF,MAZ,MTA1,NFIC,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,TENT4A,YY1,ZFHX3,ZNF423,SKI"
Gene Ontology : Biological Process	negative regulation of cellular biosynthetic process	GO:0031327	1.37041E-05	"AGO2,BCL7A,CREBBP,CTBP2,CUX1,EHMT1,FMR1,FOXD1,FOXK2,KDM1A,L3MBTL3,MAF,MAZ,MEX3D,MTA1,NFIC,NKX6-2,NRIP1,POU3F3,RXRA,SF1,SIK1,TENT4A,YY1,ZBTB46,ZFHX3,ZNF423,SKI"
Gene Ontology : Biological Process	positive regulation of biosynthetic process	GO:0009891	1.99772E-05	"AGO2,ASXL3,CARM1,CASZ1,CHD7,CREBBP,CTBP2,ELF1,FMR1,FOXD1,FOXK2,GDF7,GMEB1,HOXA13,KDM1A,KMT2B,LMX1B,MAF,MAZ,MTA1,NFIC,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,TENT4A,YY1,ZFHX3,ZNF423,SKI"
Gene Ontology : Biological Process	nucleobase-containing compound biosynthetic process	GO:0034654	2.00745E-05	"AFF3,AGO2,ASXL3,BCL7A,CARM1,CASZ1,CHD7,CREBBP,CTBP2,CUX1,EBF4,EHMT1,ELF1,FOXD1,FOXK2,GDF7,GMEB1,HMGB3,HOXA13,KDM1A,KMT2B,L3MBTL3,LMX1B,MAF,MAZ,MED13L,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,SALL3,SF1,SIK1,USP7,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF618,ZNF713,SKI"
Gene Ontology : Biological Process	negative regulation of macromolecule biosynthetic process	GO:0010558	2.66653E-05	"AGO2,BCL7A,CREBBP,CTBP2,CUX1,EHMT1,FMR1,FOXD1,FOXK2,KDM1A,L3MBTL3,MAF,MAZ,MEX3D,MTA1,NFIC,NKX6-2,NRIP1,POU3F3,RXRA,SF1,TENT4A,YY1,ZBTB46,ZFHX3,ZNF423,SKI"
Gene Ontology : Biological Process	negative regulation of RNA metabolic process	GO:0051253	2.77515E-05	"BCL7A,CREBBP,CTBP2,CUX1,EHMT1,FMR1,FOXD1,FOXK2,KDM1A,L3MBTL3,MAF,MAZ,MTA1,NFIC,NKX6-2,NRIP1,POU3F3,RXRA,SF1,TENT4A,TENT5A,YY1,ZBTB46,ZFHX3,ZNF423,SKI"
Gene Ontology : Biological Process	regulation of gene expression	GO:0010468	3.25377E-05	"AFF3,AGO2,ASXL3,BCL7A,CARM1,CASZ1,CHD7,CREBBP,CTBP2,CUX1,DAZAP1,EBF4,EHMT1,EIF4G3,ELF1,EPB41L4B,FMR1,FOXD1,FOXK2,GDF7,GMEB1,HMGB3,HOXA13,KDM1A,KMT2B,KMT5B,L3MBTL3,LMX1B,MAF,MAZ,MED13L,MEX3D,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,SALL3,SF1,SIK1,TENT4A,TENT5A,USP7,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF618,ZNF713,AFF2,SKI"
Gene Ontology : Biological Process	regulation of macromolecule metabolic process	GO:0060255	3.35666E-05	"AFF3,AGO2,ASXL3,BCL7A,CARM1,CASZ1,CHD7,CREBBP,CTBP2,CUX1,DAZAP1,DIP2B,EBF4,EHMT1,EIF4G3,ELF1,EPB41L4B,FMR1,FOXD1,FOXK2,GDF7,GMEB1,HMGB3,HOXA13,KDM1A,KMT2B,KMT5B,L3MBTL3,LMX1B,MAF,MAZ,MED13L,MEX3D,MGAT3,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,PMEPA1,POU3F3,RHOQ,RXRA,SALL3,SF1,SIK1,TBC1D16,TENT4A,TENT5A,USP7,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF618,ZNF713,ADARB1,AFF2,CBL,F8A1,SKI,TBC1D7"
Gene Ontology : Biological Process	heterocycle biosynthetic process	GO:0018130	3.6124E-05	"AFF3,AGO2,ASXL3,BCL7A,CARM1,CASZ1,CHD7,CREBBP,CTBP2,CUX1,EBF4,EHMT1,ELF1,FOXD1,FOXK2,GDF7,GMEB1,HMGB3,HOXA13,KDM1A,KMT2B,L3MBTL3,LMX1B,MAF,MAZ,MED13L,MTA1,NFIC,NKX6-2,NPAS3,NRIP1,ONECUT3,POU3F3,RHOQ,RXRA,SALL3,SF1,SIK1,USP7,YY1,ZBTB46,ZFHX3,ZIC5,ZNF423,ZNF618,ZNF713,SKI"
